Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
IHR,1995-01-01,20.95,0.00,0.00,19.80,5.56,5.56,,,99.80,0.63,438.71
IHR,1995-01-02,17.46,0.00,0.00,14.00,5.56,5.56,,,99.80,0.62,438.30
IHR,1995-01-03,19.95,0.00,0.00,18.40,5.56,5.56,,,99.80,0.62,438.08
IHR,1995-01-04,18.78,0.00,0.00,21.60,5.00,5.00,,,99.79,0.52,438.14
IHR,1995-01-05,17.40,0.00,0.00,19.80,4.44,4.44,,,99.80,0.50,438.35
IHR,1995-01-06,15.37,0.00,0.00,16.00,3.89,3.89,,,99.80,0.50,438.75
IHR,1995-01-07,19.00,0.00,0.00,15.80,3.89,3.89,,,99.80,0.50,438.80
IHR,1995-01-08,21.39,0.00,0.00,22.20,3.89,3.89,,,99.80,0.50,438.45
IHR,1995-01-09,25.20,0.00,0.00,23.50,3.89,3.89,,,99.80,0.50,438.36
IHR,1995-01-10,16.93,0.00,0.00,21.40,3.89,3.89,,,99.80,0.59,438.17
IHR,1995-01-11,25.51,7.61,29.84,28.70,3.33,3.33,,,99.83,0.59,439.48
IHR,1995-01-12,42.93,11.71,27.28,43.60,3.33,3.33,,,99.81,0.59,439.81
IHR,1995-01-13,38.28,6.49,16.95,35.10,3.33,3.33,,,99.80,0.48,439.09
IHR,1995-01-14,49.20,16.50,33.53,51.00,3.33,3.33,,,99.80,0.48,438.73
IHR,1995-01-15,59.93,27.07,45.16,61.10,3.33,3.33,,,,0.48,438.95
IHR,1995-01-16,57.73,24.73,42.84,58.10,3.33,3.33,,,,0.48,438.50
IHR,1995-01-17,54.53,17.07,31.31,51.40,3.33,3.33,,,99.80,0.48,438.32
IHR,1995-01-18,43.16,0.47,1.09,43.40,3.33,3.33,,,99.80,0.48,438.77
IHR,1995-01-19,31.76,0.00,0.00,33.10,3.33,3.33,,,99.80,0.07,438.91
IHR,1995-01-20,31.86,0.46,1.44,33.20,3.33,3.33,,,99.78,0.04,439.17
IHR,1995-01-21,31.40,0.00,0.00,31.70,3.33,3.33,,,99.80,0.04,439.71
IHR,1995-01-22,32.77,1.40,4.26,31.50,3.33,3.33,,,99.81,0.04,439.74
IHR,1995-01-23,31.22,0.00,0.00,31.20,3.33,3.33,,,99.80,0.04,439.58
IHR,1995-01-24,31.33,0.00,0.00,31.00,3.33,3.33,,,99.79,0.04,439.51
IHR,1995-01-25,30.58,0.00,0.00,29.20,3.33,3.33,,,99.79,0.04,439.16
IHR,1995-01-26,31.62,0.00,0.00,28.40,3.33,3.33,,,99.80,0.07,438.44
IHR,1995-01-27,31.92,0.00,0.00,36.60,3.33,3.33,,,99.81,0.07,438.48
IHR,1995-01-28,31.92,0.00,0.00,26.40,3.33,3.33,,,99.80,0.17,438.52
IHR,1995-01-29,32.13,0.00,0.00,31.40,3.33,3.33,,,99.79,0.17,437.71
IHR,1995-01-30,24.64,0.00,0.00,24.20,3.33,3.33,,,99.81,0.17,437.94
IHR,1995-01-31,26.45,0.00,0.00,25.50,3.33,3.33,,,99.90,0.17,437.71
IHR,1995-02-01,32.57,0.00,0.00,41.20,,,,,99.89,,438.06
IHR,1995-02-02,72.79,37.83,51.96,72.60,3.33,3.33,,,99.85,0.42,439.54
IHR,1995-02-03,80.25,46.95,58.50,80.80,3.89,3.89,,,,0.42,439.39
IHR,1995-02-04,68.97,36.10,52.35,66.20,3.89,3.89,,,99.80,0.45,439.16
IHR,1995-02-05,56.03,23.54,42.01,55.20,3.89,3.89,,,99.73,0.30,438.77
IHR,1995-02-06,51.38,18.58,36.16,52.80,3.89,3.89,,,99.81,0.35,439.05
IHR,1995-02-07,49.21,16.26,33.04,46.90,4.44,4.44,,,99.81,0.35,438.12
IHR,1995-02-08,44.17,11.97,27.09,45.00,4.44,4.44,,,99.79,0.35,439.11
IHR,1995-02-09,47.73,15.14,31.73,47.00,4.44,4.44,,,99.79,0.08,439.16
IHR,1995-02-10,43.16,11.15,25.84,42.70,4.44,4.44,,,99.82,0.04,438.98
IHR,1995-02-11,42.50,0.48,1.12,43.40,4.44,4.44,,,99.83,0.03,438.92
IHR,1995-02-12,49.50,0.00,0.00,47.10,4.44,4.44,,,99.81,0.04,438.61
IHR,1995-02-13,46.55,0.00,0.00,44.00,4.44,4.44,,,99.80,0.04,438.03
IHR,1995-02-14,46.65,0.00,0.00,51.40,3.33,3.33,,,99.80,0.04,438.46
IHR,1995-02-15,50.50,0.00,0.00,46.10,3.89,3.89,,,99.76,0.25,438.06
IHR,1995-02-16,50.56,0.00,0.00,47.50,3.89,3.89,,,99.75,0.25,437.51
IHR,1995-02-17,50.06,0.00,0.00,48.40,3.89,3.89,,,99.83,0.21,437.27
IHR,1995-02-18,40.58,0.00,0.00,40.90,3.89,3.89,,,99.85,0.21,437.48
IHR,1995-02-19,48.01,0.00,0.00,50.50,3.89,3.89,,,99.92,0.21,437.57
IHR,1995-02-20,51.44,0.00,0.00,49.60,4.44,4.44,,,99.81,0.17,437.57
IHR,1995-02-21,57.06,5.21,9.14,57.00,4.44,4.44,,,99.80,0.22,437.48
IHR,1995-02-22,53.25,2.31,4.33,60.50,4.44,4.44,,,99.80,0.18,437.95
IHR,1995-02-23,57.06,7.69,13.47,58.80,4.44,4.44,,,,0.18,438.58
IHR,1995-02-24,54.33,3.40,6.26,52.00,4.44,4.44,,,,0.23,438.52
IHR,1995-02-25,51.02,0.00,0.00,52.00,4.44,4.44,,,,0.15,438.42
IHR,1995-02-26,51.24,0.00,0.00,49.70,5.00,5.00,,,,0.15,438.36
IHR,1995-02-27,51.09,0.00,0.00,52.20,5.56,5.56,,,,0.05,438.42
IHR,1995-02-28,53.79,9.37,17.42,55.20,5.56,5.56,,,,0.05,439.15
IHR,1995-03-01,51.16,0.70,1.38,52.00,5.56,5.56,,,,0.05,439.16
IHR,1995-03-02,48.38,1.71,3.53,48.50,,,,,,,439.39
IHR,1995-03-03,49.88,0.00,0.00,50.70,4.44,4.44,,,,0.05,439.76
IHR,1995-03-04,50.34,0.00,0.00,49.20,4.44,4.44,,,,0.18,439.53
IHR,1995-03-05,50.77,0.00,0.00,43.60,4.44,4.44,,,,0.18,438.58
IHR,1995-03-06,51.17,0.00,0.00,54.00,4.44,4.44,,,,0.35,437.59
IHR,1995-03-07,51.03,0.00,0.00,47.00,4.44,4.44,,,,0.35,437.96
IHR,1995-03-08,43.48,0.00,0.00,45.80,4.44,4.44,,,,0.35,437.84
IHR,1995-03-09,50.94,0.00,0.00,50.90,4.44,4.44,,,,0.35,437.80
IHR,1995-03-10,50.71,0.00,0.00,51.50,5.00,5.00,,,,0.35,437.71
IHR,1995-03-11,50.46,0.00,0.00,46.20,5.56,5.56,,,,0.38,437.52
IHR,1995-03-12,45.39,0.00,0.00,49.10,5.56,5.56,,,,0.38,437.65
IHR,1995-03-13,50.55,0.00,0.00,53.00,6.11,6.11,,,,0.38,438.25
IHR,1995-03-14,50.07,0.00,0.00,52.30,6.11,6.11,,,,3.58,439.07
IHR,1995-03-15,47.88,0.00,0.00,46.00,6.11,6.11,,,,3.58,438.10
IHR,1995-03-16,51.76,2.58,4.99,56.80,,,,,,,439.07
IHR,1995-03-17,60.04,8.30,13.83,60.10,,,,,,,439.50
IHR,1995-03-18,62.11,0.00,0.00,59.00,,,,,,,439.09
IHR,1995-03-19,62.85,0.00,0.00,60.40,,,,,,,438.35
IHR,1995-03-20,53.30,2.57,4.82,57.10,,,,,,,438.52
IHR,1995-03-21,65.64,20.29,30.91,66.20,6.11,6.11,,,,0.25,438.91
IHR,1995-03-22,65.46,20.55,31.40,64.10,6.11,6.11,,,,0.25,439.18
IHR,1995-03-23,62.18,19.64,31.59,60.80,6.11,6.11,,,,0.17,439.16
