Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
IHR,2001-01-01,18.85,0.00,0.00,17.30,3.33,3.40,768.59,736.04,95.78,0.75,438.33
IHR,2001-01-02,42.26,0.00,0.00,40.40,,3.40,770.35,737.04,95.68,,437.58
IHR,2001-01-03,13.10,0.00,0.00,12.80,3.33,3.40,767.88,736.79,95.95,0.75,437.41
IHR,2001-01-04,9.36,0.00,0.00,13.60,3.33,3.38,764.20,737.83,96.55,0.75,437.93
IHR,2001-01-05,18.15,0.00,0.00,15.20,3.33,3.42,760.05,737.75,97.07,0.75,438.32
IHR,2001-01-06,10.33,0.00,0.00,13.10,3.33,3.42,763.62,738.25,96.68,0.75,438.14
IHR,2001-01-07,13.40,0.00,0.00,14.10,3.33,3.39,759.99,737.96,97.10,0.75,438.70
IHR,2001-01-08,17.75,0.00,0.00,19.90,3.33,3.36,755.08,737.13,97.62,0.75,438.90
IHR,2001-01-09,11.24,0.00,0.00,10.90,3.33,3.27,753.47,736.92,97.80,0.75,439.14
IHR,2001-01-10,18.93,0.00,0.00,19.50,3.33,3.30,753.46,737.83,97.93,0.75,438.99
IHR,2001-01-11,17.35,0.00,0.00,17.40,3.33,3.30,751.94,737.29,98.05,0.75,439.04
IHR,2001-01-12,10.33,0.00,0.00,10.40,3.33,3.30,755.78,737.25,97.56,0.75,439.11
IHR,2001-01-13,20.93,0.00,0.00,20.60,3.33,3.30,758.25,737.29,97.25,0.75,439.23
IHR,2001-01-14,12.55,0.00,0.00,14.20,3.33,3.31,763.96,738.33,96.65,0.75,439.36
IHR,2001-01-15,17.93,0.00,0.00,17.80,3.33,3.30,768.20,737.21,95.97,0.75,439.55
IHR,2001-01-16,29.89,0.00,0.00,26.90,,3.25,769.40,738.67,96.00,,439.29
IHR,2001-01-17,12.60,0.00,0.00,15.50,3.33,3.20,770.50,739.13,95.93,0.75,439.10
IHR,2001-01-18,28.92,0.00,0.00,30.80,3.33,3.17,767.81,739.08,96.25,0.75,439.79
IHR,2001-01-19,27.21,0.00,0.00,25.70,3.33,3.16,764.63,739.83,96.77,0.75,439.65
IHR,2001-01-20,15.04,0.00,0.00,16.40,3.33,3.16,765.09,740.58,96.79,0.75,439.50
IHR,2001-01-21,16.84,0.00,0.00,18.40,3.33,3.11,763.38,741.17,97.09,0.75,440.32
IHR,2001-01-22,41.89,0.00,0.00,38.20,3.33,3.05,766.35,741.08,96.70,0.75,439.94
IHR,2001-01-23,22.50,0.00,0.00,24.60,3.33,2.96,761.29,741.21,97.37,0.75,439.15
IHR,2001-01-24,25.71,0.00,0.00,23.90,3.33,2.98,757.81,741.92,97.90,0.75,439.23
IHR,2001-01-25,22.75,0.00,0.00,21.60,3.33,2.99,758.51,742.58,97.90,0.75,439.11
IHR,2001-01-26,16.16,0.00,0.00,18.30,3.33,3.01,762.08,743.21,97.52,0.75,439.00
IHR,2001-01-27,27.38,0.00,0.00,26.30,3.33,2.98,765.14,742.92,97.09,0.75,439.31
IHR,2001-01-28,28.55,0.00,0.00,28.60,3.33,3.01,760.29,744.00,97.85,0.75,439.40
IHR,2001-01-29,35.21,0.00,0.00,34.20,3.33,3.02,758.62,744.29,98.11,0.75,439.20
IHR,2001-01-30,26.67,0.00,0.00,26.80,3.33,3.02,765.36,745.65,97.43,0.75,439.19
IHR,2001-01-31,20.46,0.00,0.00,20.70,3.33,3.01,765.21,745.75,97.45,0.67,439.46
IHR,2001-02-01,29.55,0.00,0.00,28.00,3.33,3.03,763.23,747.29,97.92,0.67,439.08
IHR,2001-02-02,23.80,0.00,0.00,25.40,3.33,3.07,761.72,749.04,98.33,0.67,439.08
IHR,2001-02-03,26.33,0.00,0.00,25.50,3.33,3.11,766.17,750.88,98.01,0.67,439.39
IHR,2001-02-04,25.40,0.00,0.00,23.60,3.33,3.17,762.06,753.58,98.88,0.67,438.69
IHR,2001-02-05,22.50,0.00,0.00,23.00,3.33,3.25,761.12,756.29,99.36,0.67,438.70
