Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
IDSW,2001-01-01,18.85,0.00,0.00,17.30,,3.44,774.96,743.00,95.88,,338.48
IDSW,2001-01-02,42.26,0.00,0.00,40.40,,3.41,776.57,741.79,95.52,,340.75
IDSW,2001-01-03,13.10,0.00,0.00,12.80,,3.43,774.20,744.25,96.13,,338.47
IDSW,2001-01-04,9.36,0.00,0.00,13.60,,3.47,770.29,750.29,97.41,,338.20
IDSW,2001-01-05,18.15,0.00,0.00,15.20,,3.50,766.07,745.29,97.29,,338.82
IDSW,2001-01-06,10.33,0.00,0.00,13.10,,3.50,769.66,748.08,97.20,,338.34
IDSW,2001-01-07,13.40,0.00,0.00,14.10,,3.42,766.16,745.71,97.33,,338.48
IDSW,2001-01-08,17.75,0.00,0.00,19.90,,3.41,761.23,743.46,97.67,,339.20
IDSW,2001-01-09,11.24,0.00,0.00,10.90,,3.35,759.60,741.96,97.68,,338.99
IDSW,2001-01-10,18.93,0.00,0.00,19.50,,3.34,759.51,741.29,97.60,,339.98
IDSW,2001-01-11,17.35,0.00,0.00,17.40,,3.32,758.02,740.46,97.68,,340.35
IDSW,2001-01-12,10.33,0.00,0.00,10.40,,3.34,761.89,741.08,97.27,,340.39
IDSW,2001-01-13,20.93,0.00,0.00,20.60,,3.34,764.50,741.71,97.02,,340.89
IDSW,2001-01-14,12.55,0.00,0.00,14.20,,3.39,769.93,743.13,96.52,,340.20
IDSW,2001-01-15,17.93,0.00,0.00,17.80,,3.34,774.27,742.29,95.87,,340.13
IDSW,2001-01-16,29.89,0.00,0.00,26.90,,3.27,775.68,741.25,95.56,,340.71
IDSW,2001-01-17,12.60,0.00,0.00,15.50,,3.23,776.78,742.17,95.54,,340.00
IDSW,2001-01-18,28.92,0.00,0.00,30.80,,3.20,774.15,741.46,95.78,,341.17
IDSW,2001-01-19,27.21,0.00,0.00,25.70,,3.18,770.85,740.79,96.10,,341.08
IDSW,2001-01-20,15.04,0.00,0.00,16.40,,3.18,771.34,742.00,96.20,,340.22
IDSW,2001-01-21,16.84,0.00,0.00,18.40,,3.14,769.58,742.67,96.50,,340.32
IDSW,2001-01-22,41.89,0.00,0.00,38.20,,3.05,772.61,742.04,96.04,,341.95
IDSW,2001-01-23,22.50,0.00,0.00,24.60,,3.00,767.69,741.92,96.64,,340.39
IDSW,2001-01-24,25.71,0.00,0.00,23.90,,2.99,763.95,743.00,97.26,,340.25
IDSW,2001-01-25,22.75,0.00,0.00,21.60,,3.01,764.59,743.38,97.23,,339.84
IDSW,2001-01-26,16.16,0.00,0.00,18.30,,3.03,768.32,745.17,96.99,,339.49
IDSW,2001-01-27,27.38,0.00,0.00,26.30,,3.03,771.49,745.21,96.59,,340.17
IDSW,2001-01-28,28.55,0.00,0.00,28.60,,3.02,766.51,744.75,97.16,,340.37
IDSW,2001-01-29,35.21,0.00,0.00,34.20,,3.05,764.65,746.13,97.58,,340.85
IDSW,2001-01-30,26.67,0.00,0.00,26.80,,3.06,771.61,748.25,96.97,,340.48
IDSW,2001-01-31,20.46,0.00,0.00,20.70,,3.14,771.12,751.04,97.40,,339.98
IDSW,2001-02-01,29.55,0.00,0.00,28.00,,3.11,769.42,751.08,97.62,,340.72
IDSW,2001-02-02,23.80,0.00,0.00,25.40,,3.18,767.76,752.67,98.03,,340.06
IDSW,2001-02-03,26.33,0.00,0.00,25.50,,3.20,772.11,754.67,97.74,,339.80
IDSW,2001-02-04,25.40,0.00,0.00,23.60,,3.26,768.33,757.71,98.62,,339.30
IDSW,2001-02-05,22.50,0.00,0.00,23.00,,3.32,767.04,758.79,98.92,,338.99
IDSW,2001-02-06,24.13,0.00,0.00,20.40,,3.29,765.08,759.83,99.31,,338.96
IDSW,2001-02-07,13.94,0.00,0.00,18.50,,3.25,768.23,760.63,99.01,,338.19
IDSW,2001-02-08,27.95,0.00,0.00,26.90,,3.16,765.15,761.21,99.49,,339.94
IDSW,2001-02-09,18.71,0.00,0.00,20.60,,3.14,762.49,769.58,100.93,,339.50
IDSW,2001-02-10,24.10,0.00,0.00,23.70,,3.06,758.80,757.38,99.81,,340.05
IDSW,2001-02-11,12.85,0.00,0.00,13.10,,3.07,759.38,758.46,99.88,,339.44
IDSW,2001-02-12,25.12,0.00,0.00,22.70,,3.04,764.83,764.50,99.96,,339.73
IDSW,2001-02-13,17.75,0.00,0.00,20.10,,3.07,766.93,767.33,100.05,,339.39
IDSW,2001-02-14,24.85,0.00,0.00,26.60,,3.06,762.85,771.75,101.17,,340.17
IDSW,2001-02-15,30.69,0.00,0.00,29.70,,3.13,761.48,762.83,100.18,,340.70
IDSW,2001-02-16,26.82,0.00,0.00,26.10,,3.18,769.26,763.63,99.27,,340.35
IDSW,2001-02-17,23.10,0.00,0.00,22.90,,3.24,768.16,759.67,98.90,,340.29
IDSW,2001-02-18,14.26,0.00,0.00,15.30,,3.41,763.96,762.25,99.78,,339.33
IDSW,2001-02-19,21.98,0.00,0.00,21.90,,3.43,763.63,762.58,99.86,,339.73
IDSW,2001-02-20,29.38,0.00,0.00,26.60,,3.48,764.88,764.08,99.90,,339.64
IDSW,2001-02-21,25.64,0.00,0.00,21.60,,3.51,764.71,767.50,100.37,,339.22
IDSW,2001-02-22,22.44,0.00,0.00,24.60,,3.54,761.54,777.83,102.14,,338.97
IDSW,2001-02-23,20.30,0.00,0.00,19.10,,3.63,757.75,771.13,101.77,,338.91
IDSW,2001-02-24,11.77,0.00,0.00,13.50,,3.74,755.73,772.50,102.22,,338.18
IDSW,2001-02-25,20.43,0.00,0.00,18.20,,3.76,764.01,768.29,100.56,,338.89
IDSW,2001-02-26,21.72,0.00,0.00,23.90,,3.91,771.79,770.38,99.82,,339.00
IDSW,2001-02-27,22.97,0.00,0.00,22.00,,4.00,772.31,771.04,99.84,,339.72
IDSW,2001-02-28,21.00,0.00,0.00,24.30,,4.04,764.88,771.83,100.91,,339.77
IDSW,2001-03-01,11.71,0.00,0.00,13.40,,4.07,758.64,771.58,101.71,,339.37
IDSW,2001-03-02,15.80,0.00,0.00,13.00,,4.19,759.17,772.13,101.71,,339.88
IDSW,2001-03-03,15.23,0.00,0.00,16.10,,4.17,762.43,771.29,101.16,,340.13
IDSW,2001-03-04,12.53,0.00,0.00,12.50,,4.19,760.71,771.25,101.39,,339.63
IDSW,2001-03-05,14.08,0.00,0.00,15.20,,4.25,765.10,773.67,101.12,,339.01
IDSW,2001-03-06,21.47,0.00,0.00,21.90,,4.24,768.66,775.33,100.87,,339.10
IDSW,2001-03-07,20.55,0.00,0.00,19.80,,4.32,766.92,778.38,101.50,,339.11
IDSW,2001-03-08,20.25,0.00,0.00,20.10,,4.43,764.10,779.50,102.02,,339.28
IDSW,2001-03-09,27.66,0.00,0.00,30.30,,4.46,764.87,779.25,101.88,,340.50
IDSW,2001-03-10,30.27,0.00,0.00,28.70,,4.67,763.80,783.75,102.61,,340.79
