Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
LGS,2011-01-01,22.70,0.00,0.00,26.20,,,,,,,636.88
LGS,2011-01-02,25.94,0.00,0.00,26.90,,,,,,,637.20
LGS,2011-01-03,35.44,0.00,0.00,31.80,,,,,,,636.96
LGS,2011-01-04,34.45,0.00,0.00,25.90,,,,,,,635.92
LGS,2011-01-05,29.70,0.00,0.00,29.60,,,,,,,634.97
LGS,2011-01-06,24.77,0.00,0.00,24.30,,,,,,,636.06
LGS,2011-01-07,24.51,0.00,0.00,25.60,,,,,,,637.11
LGS,2011-01-08,29.27,0.00,0.00,27.60,,,,,,,637.31
LGS,2011-01-09,24.60,0.00,0.00,27.60,,,,,,,637.17
LGS,2011-01-10,30.24,0.00,0.00,29.40,,,,,,,637.30
LGS,2011-01-11,31.43,0.00,0.00,29.00,,,,,,,637.00
LGS,2011-01-12,28.91,0.00,0.00,26.40,,,,,,,636.75
LGS,2011-01-13,29.78,0.00,0.00,29.00,,,,,,,636.75
LGS,2011-01-14,28.32,0.00,0.00,28.90,,,,,,,636.91
LGS,2011-01-15,40.37,0.00,0.00,41.10,,,,,,,637.26
LGS,2011-01-16,46.31,0.00,0.00,48.50,,,,,,,637.20
LGS,2011-01-17,81.17,0.00,0.00,82.10,,,,,,,637.20
LGS,2011-01-18,90.63,0.00,0.00,88.70,,,,,,,637.16
LGS,2011-01-19,71.90,0.00,0.00,68.80,,,,,,,636.60
LGS,2011-01-20,62.36,0.00,0.00,66.60,,,,,,,636.87
LGS,2011-01-21,63.07,0.00,0.00,60.70,,,,,,,636.88
LGS,2011-01-22,63.90,0.00,0.00,65.60,,,,,,,637.13
LGS,2011-01-23,59.70,0.00,0.00,61.60,,,,,,,637.31
LGS,2011-01-24,64.27,0.00,0.00,61.30,,,,,,,637.15
LGS,2011-01-25,60.92,0.00,0.00,58.50,,,,,,,636.63
LGS,2011-01-26,65.84,0.00,0.00,60.80,,,,,,,635.55
LGS,2011-01-27,56.39,0.00,0.00,54.20,,,,,,,635.19
LGS,2011-01-28,48.43,0.00,0.00,47.10,,,,,,,634.76
LGS,2011-01-29,51.66,0.00,0.00,53.90,,,,,,,634.78
LGS,2011-01-30,39.29,0.00,0.00,45.40,,,,,,,635.95
LGS,2011-01-31,47.68,0.00,0.00,50.80,,,,,,,636.87
LGS,2011-02-01,51.87,0.00,0.00,49.20,,,,,,,636.16
LGS,2011-02-02,40.34,0.00,0.00,38.40,,,,,,,636.10
LGS,2011-02-03,36.57,0.00,0.00,39.00,,,,,,,636.24
