Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
LGS,2013-01-01,17.73,0.00,0.00,21.30,,,,,,,635.69
LGS,2013-01-02,28.22,0.00,0.00,23.50,,,,,,,636.30
LGS,2013-01-03,26.69,0.00,0.00,22.60,,,,,,,635.32
LGS,2013-01-04,20.35,0.00,0.00,20.80,,,,,,,634.66
LGS,2013-01-05,21.69,0.00,0.00,22.20,,,,,,,635.09
LGS,2013-01-06,13.85,0.00,0.00,16.90,,,,,,,635.14
LGS,2013-01-07,19.50,0.00,0.00,24.00,,,,,,,635.84
LGS,2013-01-08,28.42,0.00,0.00,30.00,,,,,,,636.39
LGS,2013-01-09,24.93,0.00,0.00,25.60,,,,,,,637.00
LGS,2013-01-10,22.10,0.00,0.00,21.50,,,,,,,636.98
LGS,2013-01-11,29.98,0.00,0.00,29.70,,,,,,,636.83
LGS,2013-01-12,28.22,0.00,0.00,27.70,,,,,,,636.68
LGS,2013-01-13,19.95,0.00,0.00,23.60,,,,,,,637.04
LGS,2013-01-14,28.25,0.00,0.00,23.90,,,,,,,636.90
LGS,2013-01-15,29.03,0.00,0.00,25.20,,,,,,,636.38
LGS,2013-01-16,24.13,0.00,0.00,23.60,,,,,,,635.74
LGS,2013-01-17,23.80,0.00,0.00,24.30,,,,,,,635.73
LGS,2013-01-18,24.98,0.00,0.00,22.20,,,,,,,635.55
LGS,2013-01-19,19.48,0.00,0.00,20.80,,,,,,,635.41
LGS,2013-01-20,13.30,0.00,0.00,16.90,,,,,,,635.95
LGS,2013-01-21,23.05,0.00,0.00,20.00,,,,,,,635.95
LGS,2013-01-22,22.78,0.00,0.00,22.90,,,,,,,635.61
LGS,2013-01-23,21.12,0.00,0.00,19.10,,,,,,,635.49
LGS,2013-01-24,19.92,0.00,0.00,18.90,,,,,,,635.20
LGS,2013-01-25,13.43,0.00,0.00,18.60,,,,,,,635.50
LGS,2013-01-26,22.13,0.00,0.00,22.10,,,,,,,636.27
LGS,2013-01-27,19.38,0.00,0.00,22.80,,,,,,,636.47
LGS,2013-01-28,27.34,0.00,0.00,26.30,,,,,,,636.65
LGS,2013-01-29,21.76,0.00,0.00,23.10,,,,,,,636.76
LGS,2013-01-30,24.38,0.00,0.00,22.70,,,,,,,636.77
LGS,2013-01-31,24.68,0.00,0.00,27.60,,,,,,,636.84
LGS,2013-02-01,26.39,0.00,0.00,25.30,,,,,,,636.98
LGS,2013-02-02,27.13,0.00,0.00,29.00,,,,,,,636.84
LGS,2013-02-03,24.57,0.00,0.00,23.60,,,,,,,637.33
LGS,2013-02-04,27.37,0.00,0.00,29.10,,,,,,,637.22
LGS,2013-02-05,29.14,0.00,0.00,28.20,,,,,,,637.12
LGS,2013-02-06,27.61,0.00,0.00,27.60,,,,,,,637.06
LGS,2013-02-07,26.10,0.00,0.00,26.00,,,,,,,637.14
LGS,2013-02-08,28.31,0.00,0.00,28.80,,,,,,,636.94
LGS,2013-02-09,30.43,0.00,0.00,28.30,,,,,,,636.83
LGS,2013-02-10,22.12,0.00,0.00,24.00,,,,,,,636.76
LGS,2013-02-11,30.04,0.00,0.00,30.20,,,,,,,636.99
LGS,2013-02-12,24.87,0.00,0.00,24.90,,,,,,,637.10
LGS,2013-02-13,29.66,0.00,0.00,27.90,,,,,,,636.97
LGS,2013-02-14,24.28,0.00,0.00,24.40,,,,,,,636.78
LGS,2013-02-15,27.67,0.00,0.00,29.70,,,,,,,636.91
LGS,2013-02-16,29.73,0.00,0.00,26.30,,,,,,,636.55
LGS,2013-02-17,25.13,0.00,0.00,23.70,,,,,,,636.24
LGS,2013-02-18,23.49,0.00,0.00,27.00,,,,,,,636.55
LGS,2013-02-19,30.39,0.00,0.00,26.20,,,,,,,636.44
LGS,2013-02-20,27.64,0.00,0.00,29.20,,,,,,,636.20
LGS,2013-02-21,22.68,0.00,0.00,22.40,,,,,,,636.18
LGS,2013-02-22,25.40,0.00,0.00,25.10,,,,,,,636.39
LGS,2013-02-23,21.74,0.00,0.00,23.20,,,,,,,636.35
LGS,2013-02-24,21.90,0.00,0.00,23.80,,,,,,,636.69
LGS,2013-02-25,26.81,0.00,0.00,24.20,,,,,,,636.67
LGS,2013-02-26,25.32,0.00,0.00,27.30,,,,,,,636.75
LGS,2013-02-27,25.48,0.00,0.00,25.70,,,,,,,636.90
LGS,2013-02-28,18.13,0.00,0.00,19.20,,,,,,,636.85
LGS,2013-03-01,24.67,0.00,0.00,23.90,,,,,,,637.06
LGS,2013-03-02,25.67,0.00,0.00,25.90,,,,,,,636.94
LGS,2013-03-03,27.46,0.00,0.00,28.90,,,,,,,637.11
LGS,2013-03-04,36.23,0.00,0.00,34.00,,,,,,,636.82
LGS,2013-03-05,33.90,0.00,0.00,31.10,,,,,,,636.63
LGS,2013-03-06,31.68,0.00,0.00,32.90,,,,,,,636.46
LGS,2013-03-07,24.18,0.00,0.00,25.30,,,,,,,636.74
LGS,2013-03-08,30.81,0.00,0.00,31.60,,,,,,,636.88
LGS,2013-03-09,27.18,0.00,0.00,25.90,,,,,,,636.90
LGS,2013-03-10,21.64,0.00,0.00,23.60,,,,,,,636.92
LGS,2013-03-11,28.11,0.00,0.00,27.10,,,,,,,637.05
LGS,2013-03-12,25.98,0.00,0.00,25.70,,,,,,,636.80
LGS,2013-03-13,30.08,0.00,0.00,27.90,,,,,,,636.66
LGS,2013-03-14,33.63,0.00,0.00,34.50,,,,,,,636.54
LGS,2013-03-15,33.38,0.00,0.00,30.60,,,,,,,636.40
LGS,2013-03-16,34.69,0.00,0.00,34.10,,,,,,,636.16
LGS,2013-03-17,36.07,0.00,0.00,38.20,,,,,,,635.93
LGS,2013-03-18,39.08,0.00,0.00,37.60,,5.56,746.80,773.00,103.51,,636.25
LGS,2013-03-19,40.22,0.00,0.00,36.20,,5.53,746.91,767.75,102.79,,635.27
LGS,2013-03-20,33.89,0.00,0.00,29.20,,5.64,736.50,764.25,103.77,,634.60
LGS,2013-03-21,29.09,0.00,0.00,36.10,,5.71,745.61,760.12,101.95,,635.03
LGS,2013-03-22,37.71,0.00,0.00,38.90,,5.72,749.04,757.96,101.19,,635.21
LGS,2013-03-23,36.44,0.00,0.00,32.00,,5.84,752.83,757.75,100.65,,634.81
LGS,2013-03-24,31.83,0.00,0.00,32.70,,5.84,751.38,757.21,100.78,,634.77
LGS,2013-03-25,30.93,0.00,0.00,31.80,,6.08,746.69,756.37,101.30,,635.02
LGS,2013-03-26,31.36,0.00,0.00,31.50,,6.50,743.72,757.91,101.91,,635.06
LGS,2013-03-27,24.58,1.03,4.17,31.40,,7.10,743.48,763.62,102.71,,635.62
LGS,2013-03-28,25.83,0.00,0.00,24.00,,7.27,745.36,765.04,102.64,,637.11
LGS,2013-03-29,35.70,0.00,0.00,37.10,,7.29,748.73,766.25,102.34,,636.75
LGS,2013-03-30,36.00,0.00,0.00,36.00,,7.20,749.46,764.25,101.97,,636.79
LGS,2013-03-31,45.57,0.00,0.00,42.00,,7.79,744.65,776.25,104.25,,636.47
LGS,2013-04-01,49.81,0.00,0.00,41.20,,7.70,743.31,774.00,104.13,,634.71
LGS,2013-04-02,55.08,0.00,0.00,53.80,,7.46,746.02,773.12,103.63,,633.74
LGS,2013-04-03,55.18,16.11,29.19,56.60,,7.48,746.17,776.00,104.00,,634.06
LGS,2013-04-04,58.21,17.38,29.85,56.00,,7.45,740.31,779.48,105.29,,633.70
LGS,2013-04-05,63.39,19.00,29.97,65.00,,8.08,741.20,784.54,105.85,,633.45
LGS,2013-04-06,73.43,22.02,29.99,71.90,,8.55,741.58,785.83,105.97,,633.40
LGS,2013-04-07,73.23,22.06,30.13,75.90,,9.04,736.75,794.87,107.89,,633.38
LGS,2013-04-08,77.02,25.76,33.45,75.50,,9.25,744.87,799.29,107.31,,633.55
LGS,2013-04-09,70.63,23.98,33.95,69.40,,9.27,751.56,798.16,106.20,,633.50
LGS,2013-04-10,59.29,17.78,30.00,60.50,,9.31,745.27,795.96,106.80,,633.41
LGS,2013-04-11,62.31,18.80,30.17,61.70,,9.23,747.99,794.71,106.25,,633.60
LGS,2013-04-12,59.83,17.95,29.99,58.80,,9.16,742.93,803.16,108.11,,633.39
LGS,2013-04-13,56.70,17.03,30.04,58.90,,8.92,738.84,802.96,108.68,,633.60
LGS,2013-04-14,61.71,18.60,30.15,61.50,,8.59,742.38,796.58,107.30,,633.62
LGS,2013-04-15,56.34,16.89,29.98,55.40,,8.23,743.43,794.66,106.89,,633.43
LGS,2013-04-16,50.32,15.03,29.88,52.20,,8.20,750.13,795.21,106.01,,633.72
LGS,2013-04-17,53.31,16.01,30.04,51.40,,8.41,754.32,797.66,105.75,,633.83
LGS,2013-04-18,44.48,13.25,29.78,45.30,,8.56,752.26,809.62,107.63,,633.58
LGS,2013-04-19,46.74,14.05,30.07,46.30,,8.58,745.81,812.71,108.97,,633.69
LGS,2013-04-20,48.75,14.60,29.95,49.60,,8.66,747.11,809.96,108.41,,633.73
LGS,2013-04-21,53.66,16.13,30.05,53.50,,8.90,747.83,808.66,108.14,,633.58
