SAR,PH,FTD,Transport,WTT,Predicted SAR
1.54,16,863.2,False,4.729475406,1.3129157176514779
1.97,9,577.7,False,4.729475406,1.737454860877695
1.49,9,577.7,False,4.729475406,1.737454860877695
1.68,16,863.2,False,4.729475406,1.3129157176514779
1.66,9,577.7,False,4.729475406,1.737454860877695
2.13,16,863.2,False,4.729475406,1.3129157176514779
1.81,9,577.7,False,4.729475406,1.737454860877695
1.52,16,863.2,False,4.729475406,1.3129157176514779
1e-08,9,577.7,False,4.729475406,1.737454860877695
1e-08,16,863.2,False,4.729475406,1.3129157176514779
1.96,9,577.7,False,4.729475406,1.737454860877695
1.45,16,863.2,False,4.729475406,1.3129157176514779
1.39,9,577.7,False,4.729475406,1.737454860877695
0.89,16,863.2,False,4.729475406,1.3129157176514779
2.16,9,577.7,False,4.729475406,1.737454860877695
1.55,16,863.2,False,4.729475406,1.3129157176514779
0.75,9,577.7,False,4.729475406,1.737454860877695
0.45000000000000007,16,863.2,False,4.729475406,1.3129157176514779
2.72,9,577.7,False,4.729475406,1.737454860877695
2.26,16,863.2,False,4.729475406,1.3129157176514779
2.05,9,577.7,False,4.729475406,1.737454860877695
1.8500000000000003,16,863.2,False,4.729475406,1.3129157176514779
1.91,9,577.7,False,4.729475406,1.737454860877695
1.44,16,863.2,False,4.729475406,1.3129157176514779
2.29,9,577.7,False,4.729475406,1.737454860877695
2.04,16,863.2,False,4.729475406,1.3129157176514779
2.58,9,577.7,False,4.729475406,1.737454860877695
2.01,16,863.2,False,4.729475406,1.3129157176514779
0.74,7,512.1,False,4.729475406,2.5631904547789124
0.45000000000000007,12,732.0,False,4.729475406,2.194465255087045
0.26,7,512.1,False,4.729475406,2.5631904547789124
0.26,12,732.0,False,4.729475406,2.194465255087045
1.71,9,577.7,False,4.729475406,1.737454860877695
1.47,16,863.2,False,4.729475406,1.3129157176514779
0.97,9,577.7,False,5.135942297,1.6074568635306103
0.86,16,863.2,False,5.135942297,1.2142896039131834
0.26,9,577.7,False,5.135942297,1.6074568635306103
0.33,16,863.2,False,5.135942297,1.2142896039131834
0.77,9,577.7,False,5.135942297,1.6074568635306103
1.05,16,863.2,False,5.135942297,1.2142896039131834
0.39,16,863.2,False,5.135942297,1.2142896039131834
0.51,9,577.7,False,5.135942297,1.6074568635306103
0.17,9,577.7,False,5.135942297,1.6074568635306103
0.17,16,863.2,False,5.135942297,1.2142896039131834
0.51,9,577.7,False,5.135942297,1.6074568635306103
0.45999999999999996,16,863.2,False,5.135942297,1.2142896039131834
0.31,9,577.7,False,5.135942297,1.6074568635306103
0.62,16,863.2,False,5.135942297,1.2142896039131834
1.27,9,577.7,False,5.135942297,1.6074568635306103
